Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnsiColorLogger.java",8,6,9,1,46,3,38,5,,,,1,0,10,2,,2,2,6,2,,0,1,1,0,,245,16,110,49,74,119,,,,64,78,40,38,,,,,,9,9,9,1,,,2,,,1.08,17,13,18,2
File,"Ant.java",2,2,2,1,16,0,10,6,,,,4,0,1,39,,37,35,18,35,,0,6,2,27,,812,83,428,117,260,301,,,,184,278,109,169,,,,,,19,19,28,6,,,4,,,0.70,95,93,106,44
File,"AntAnalyzer.java",3,3,3,1,22,1,14,6,,,,1,0,0,3,,3,2,0,2,,0,0,2,0,,111,11,59,26,33,41,,,,35,44,25,19,,,,,,8,8,9,1,,,4,,,0.69,10,10,11,3
File,"AntAssert.java",1,1,1,1,10,0,4,6,,,,1,4,0,4,,4,0,0,4,,0,0,0,4,,78,8,22,11,8,48,,,,9,14,10,4,,,,,,2,2,2,1,,,0,,,2.18,6,6,6,4
File,"AntClassLoader.java",2,2,2,1,19,0,9,9,,,,2,6,9,71,,71,64,16,70,,1,16,10,43,,1611,109,762,227,443,743,,,,327,509,204,305,,,,,,12,12,13,10,,,5,,,0.98,185,185,205,109
File,"AntClassLoader2.java",1,1,1,1,3,0,2,1,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,35,4,9,5,1,22,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,2.44,1,1,1,1
File,"AntClassLoader5.java",1,1,1,1,20,0,4,16,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,55,5,13,8,2,37,,,,6,8,6,2,,,,,,1,1,1,1,,,0,,,2.85,1,1,1,1
File,"AntClassLoaderDelegationTest.java",1,1,1,1,11,0,9,1,,,,2,0,2,5,,5,5,1,5,,0,0,1,4,,122,17,75,42,40,32,,,,41,49,35,14,,,,,,2,2,2,1,,,1,,,0.43,6,6,6,5
File,"AntClassLoaderPerformance.java",3,3,3,1,23,0,21,2,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,56,5,29,15,16,22,,,,17,22,14,8,,,,,,3,3,3,1,,,2,,,0.76,3,3,3,1
File,"AntClassLoaderTest.java",1,1,1,1,11,0,9,1,,,,3,0,0,16,,16,16,3,16,,1,0,0,15,,277,28,200,92,116,49,,,,119,144,72,72,,,,,,2,2,2,1,,,1,,,0.24,18,18,18,16
File,"AntFilterReader.java",2,2,2,1,11,0,7,4,,,,1,0,0,11,,11,11,3,11,,0,1,1,9,,180,17,95,22,48,68,,,,39,65,21,44,,,,,,4,4,4,1,,,2,,,0.72,25,25,27,11
File,"AntLikeTasksAtTopLevelTest.java",1,1,1,1,5,0,5,0,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,59,9,30,17,11,20,,,,17,21,12,9,,,,,,1,1,1,1,,,0,,,0.67,3,3,3,3
File,"AntMain.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,42,3,6,5,0,33,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,5.50,0,0,0,0
File,"AntResolver.java",1,1,1,1,11,1,7,3,,,,1,0,0,6,,6,6,3,6,,0,1,0,5,,119,15,57,26,24,47,,,,30,41,22,19,,,,,,3,3,3,1,,,1,,,0.82,10,10,10,6
File,"AntSoundPlayer.java",2,2,2,1,13,0,7,5,,,,1,0,0,13,,13,13,6,13,,0,3,0,10,,258,32,134,52,68,94,,,,60,87,43,44,,,,,,8,8,8,4,,,3,,,0.70,28,28,30,18
File,"AntStructure.java",3,3,3,1,22,1,15,4,,,,3,2,3,13,,17,15,3,17,,4,2,2,9,,418,51,249,71,151,118,,,,130,179,64,115,,,,,,20,20,26,6,,,4,,,0.47,41,41,51,22
File,"AntStructureTest.java",1,1,1,1,6,0,5,1,,,,2,0,1,8,,8,8,6,8,,0,0,0,8,,118,15,76,40,32,27,,,,48,58,32,26,,,,,,1,1,1,1,,,0,,,0.36,8,8,8,8
File,"AntTest.java",1,1,1,1,5,0,5,0,,,,5,0,0,75,,75,73,15,73,,8,1,2,62,,610,88,473,191,223,49,,,,198,300,152,148,,,,,,10,10,10,1,,,7,,,0.10,99,99,99,75
Public Class,"AntTimestamp",1,1,1,1,13,0,4,9,2,3,0,,0,0,,,,1,0,1,13,0,0,0,1,,20,1,6,3,2,13,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,0,2.17,1,1,1,1
File,"AntTimestamp.java",1,1,1,1,13,0,4,9,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,41,3,9,6,2,29,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,3.22,1,1,1,1
Public Method,"AntTimestamp.when",,,,,,,,,,,,,,,,,,,,,,,,,,0,13,0,4,2,2,9,3,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,2.25,1,1,1,1
File,"AntTypeDefinition.java",2,2,3,1,14,0,8,6,,,,1,0,0,22,,22,22,7,22,,0,3,0,19,,378,28,191,53,117,159,,,,71,108,45,63,,,,,,7,7,10,7,,,2,,,0.83,47,47,66,34
File,"AntVersion.java",2,2,2,1,12,0,8,4,,,,1,0,0,10,,10,10,3,10,,0,2,0,8,,175,14,98,26,54,65,,,,38,64,25,39,,,,,,6,6,8,3,,,2,,,0.66,24,24,29,14
File,"AntVersionTest.java",1,1,1,1,3,0,3,0,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,48,6,21,14,4,21,,,,9,13,10,3,,,,,,1,1,1,1,,,0,,,1.00,3,3,3,3
File,"AntXMLContext.java",1,1,1,1,8,0,4,4,,,,1,0,0,32,,32,31,14,31,,0,0,0,31,,414,51,165,67,68,199,,,,81,122,67,55,,,,,,3,3,3,1,,,2,,,1.21,41,41,43,32
