Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Method,"org.jfree.chart.editor.DefaultAxisEditor.attemptModifyLabelPaint",,,,,,,,,,,,,,,,,,,,,,,,,,4,12,0,9,2,5,3,3,2,0,3,5,2,3,2,2,2,1,0,,,,,0,,1,0,,0.33,2,2,2,1
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.attemptTickLabelFontSelection",,,,,,,,,,,,,,,,,,,,,,,,,,7,19,3,13,4,10,3,7,2,0,4,6,3,3,2,2,2,1,0,,,,,0,,1,0,,0.23,2,2,2,1
Public Static Method,"org.jfree.chart.editor.DefaultAxisEditor.getInstance",,,,,,,,,,,,,,,,,,,,,,,,,,2,29,2,16,1,9,11,4,4,1,4,8,1,7,4,4,4,4,5,,,,,5,,2,5,,0.69,4,4,4,4
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.getLabel",,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.getLabelFont",,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.getLabelInsets",,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,4,1,2,5,1,1,0,1,2,1,1,2,2,2,1,0,,,,,0,,0,0,,1.25,2,2,2,1
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.getLabelPaint",,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.getOtherTabs",,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.getTickLabelFont",,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.getTickLabelInsets",,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,5,1,3,5,1,1,0,1,2,1,1,2,2,2,1,0,,,,,0,,0,0,,1.00,2,2,2,1
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.getTickLabelPaint",,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.isTickLabelsVisible",,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.isTickMarksVisible",,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,2.00,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.setAxisProperties",,,,,,,,,,,,,,,,,,,,,,,,,,3,18,0,11,1,9,7,18,1,0,9,10,1,9,1,1,1,1,0,,,,,0,,0,0,,0.64,1,1,1,1
Class,"org.jfree.chart.editor.DefaultChartEditor",1,1,1,1,21,1,14,5,3,23,0,,0,1,,,,8,4,8,706,0,1,0,7,,208,29,125,31,95,54,,,,81,93,25,68,,,,,,2,2,2,1,,1,1,,67,0.43,11,11,11,8
Public Constructor,"org.jfree.chart.editor.DefaultChartEditor.DefaultChartEditor",,,,,,,,,,,,,,,,,,,,,,,,,,8,103,15,82,12,78,6,35,2,0,63,65,10,55,2,2,2,1,1,,,,,0,,1,0,,0.07,2,2,2,1
Public Method,"org.jfree.chart.editor.DefaultChartEditor.actionPerformed",,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,6,2,3,5,3,2,0,2,4,2,2,2,2,2,1,0,,,,,0,,1,0,,0.83,2,2,2,1
Private Method,"org.jfree.chart.editor.DefaultChartEditor.attemptModifyBackgroundPaint",,,,,,,,,,,,,,,,,,,,,,,,,,4,13,0,8,2,4,5,3,2,0,3,5,2,3,2,2,2,1,0,,,,,0,,1,0,,0.63,2,2,2,1
Public Method,"org.jfree.chart.editor.DefaultChartEditor.getAntiAlias",,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultChartEditor.getBackgroundPaint",,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultChartEditor.getPlotEditor",,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultChartEditor.getTitleEditor",,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultChartEditor.updateChart",,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,6,1,4,6,7,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,1.00,1,1,1,1
Public Class,"org.jfree.chart.editor.DefaultChartEditorFactory",1,1,1,1,7,0,2,5,2,4,0,,0,0,,,,2,0,2,14,0,0,0,2,,24,3,8,4,1,13,,,,1,4,3,1,,,,,,1,1,1,1,,1,0,,0,1.63,2,2,2,2
Public Constructor,"org.jfree.chart.editor.DefaultChartEditorFactory.DefaultChartEditorFactory",,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,2,1,0,3,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,1.50,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultChartEditorFactory.createEditor",,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,3,1,1,7,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,2.33,1,1,1,1
Class,"org.jfree.chart.editor.DefaultColorBarEditor",2,2,2,1,24,2,17,6,1,19,0,,1,1,,,,4,6,5,746,0,1,0,4,,162,23,98,27,71,44,,,,54,65,21,44,,,,,,4,4,4,1,,4,1,,51,0.45,10,10,10,5
Public Constructor,"org.jfree.chart.editor.DefaultColorBarEditor.DefaultColorBarEditor",,,,,,,,,,,,,,,,,,,,,,,,,,8,54,7,42,5,39,5,27,1,0,29,30,4,26,1,1,1,1,0,,,,,0,,0,0,,0.12,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultColorBarEditor.actionPerformed",,,,,,,,,,,,,,,,,,,,,,,,,,3,20,0,15,2,9,6,7,4,1,5,9,2,7,4,4,4,1,3,,,,,0,,1,0,,0.40,4,4,4,1
Private Method,"org.jfree.chart.editor.DefaultColorBarEditor.attemptPaletteSelection",,,,,,,,,,,,,,,,,,,,,,,,,,7,19,1,15,7,11,3,10,2,0,7,9,5,4,2,2,2,1,0,,,,,0,,1,0,,0.20,2,2,2,1
Public Static Method,"org.jfree.chart.editor.DefaultColorBarEditor.getInstance",,,,,,,,,,,,,,,,,,,,,,,,,,2,18,2,8,1,4,8,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,1.00,2,2,2,1
Public Method,"org.jfree.chart.editor.DefaultColorBarEditor.setAxisProperties",,,,,,,,,,,,,,,,,,,,,,,,,,5,12,0,6,1,4,8,7,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,1.33,1,1,1,1
